,"link","webpage_url","title","y","query","view_count","like_count","dislike_count","average_rating","subscriber_count","description","categories","tags","upload_date","tempo_desde_pub","channel_url","thumbnail","width","height","resolution","fps","p"
986,"watch?v=PmlRbfSavbI","https://www.youtube.com/watch?v=PmlRbfSavbI","Stealing Baseball Signs with a Phone (Machine Learning)",1,"machine+learning",14,329764,8870,4.895226,14900000,"Summary: I wanted to see if I could make an app that could decode baseball signs. Turns out we could and it was a great ","['Science & Technology']","['mark rober', 'baseball', 'signs', 'sign stealing', 'cheating', 'caught cheating', 'machine learning', 'neural networks', 'machine learning app', 'ML', 'AI', 'artificial intelligence', 'nasa', 'stealing second base', 'machine learning made simple', 'machine learning simple', 'app', 'code breaking', 'phone']","2019-06-30",506,"http://www.youtube.com/channel/UCY1kMZp36IQSyNx_9h4mpCg","https://i.ytimg.com/vi_webp/PmlRbfSavbI/maxresdefault.webp",1920,1080,,24,0.495
987,"watch?v=kho6oANGu_A","https://www.youtube.com/watch?v=kho6oANGu_A","Boosting Machine Learning Tutorial | Adaptive Boosting, Gradient Boosting, XGBoost | Edureka",1,"machine+learning",50,1010,50,4.8113208,2230000,"----------------------------------------------------------------------------------------------------------- How it Works? 1. This is a 5 Week Instructor-led ","['Education']","['machine learning edureka', 'boosting machine learning', 'boosting algorithm', 'adaptive boosting', 'adaptive boosting machine learning', 'gradient boosting', 'boosting algorithm example', 'xgboost', 'boosting algorithm explained', 'boosting vs bagging', 'bagging machine learning', 'ensemble learning boosting', 'xgboost machine learning', 'adaboost', 'what is boosting in machine learning', 'what is boosting and bagging', 'machine learning', 'boosting and bagging machine learning', 'edureka']","2019-06-27",509,"http://www.youtube.com/channel/UCkw4JCwteGrDHIsyIIKo4tQ","https://i.ytimg.com/vi_webp/kho6oANGu_A/maxresdefault.webp",1920,1080,,30,0.487
991,"watch?v=t3fbETsIBCY","https://www.youtube.com/watch?v=t3fbETsIBCY","Deep Q Learning w/ DQN - Reinforcement Learning p.5",1,"machine+learning",53,892,26,4.8867102,977000,"Hello and welcome to the first video about ","['Education']","['deep Q learning', 'dqn', 'deep reinforcement learning', 'deep', 'neural network', 'reinforcement learning', 'rl', 'tutorial', 'machine learning', 'python']","2019-06-21",515,"http://www.youtube.com/channel/UCfzlCWGWYyIQ0aLC5w48gBQ","https://i.ytimg.com/vi_webp/t3fbETsIBCY/maxresdefault.webp",1920,1080,,60,0.513
1003,"watch?v=wypVcNIH6D4","https://www.youtube.com/watch?v=wypVcNIH6D4","Python Chat Bot Tutorial - Chatbot with Deep Learning (Part 1)",1,"machine+learning",461,7743,168,4.9150548,477000,"Ever wanted to create an AI Chat bot? This python chatbot tutorial will show you how to create a chatbot with python using ","['Education']","['tech with tim', 'python chatbot tutorial', 'python chatbot', 'chatbot tutorial', 'chatbot tutorial python', 'how to create a chatbot python', 'ai chatbot python', 'deep learning chatbot', 'deep learning chatbot python', 'machine learning chat bot', 'how to create a chatbot with python', 'how to make a chatbot']","2019-05-27",540,"http://www.youtube.com/channel/UC4JX40jDee_tINbkjycV4Sg","https://i.ytimg.com/vi_webp/wypVcNIH6D4/maxresdefault.webp",1920,1080,,30,0.513
1005,"watch?v=KZXpdmLG6vE","https://www.youtube.com/watch?v=KZXpdmLG6vE","Deep Learning Specialization by Andrew Ng",1,"machine+learning",64,70,2,4.9436622,170000,"Enroll today at https://www.coursera.org/specializations/","['Education']","['online', 'education', 'coursera', 'deeplearning', 'andrewng', 'deeplearningbyandrewng', 'deep learning tutorial', 'deep learning online']","2019-05-22",545,"http://www.youtube.com/channel/UCZ50rYSkYQG31YDEJm9Di_g","https://i.ytimg.com/vi_webp/KZXpdmLG6vE/maxresdefault.webp",1920,1080,,24,0.499
1006,"watch?v=uQsLXB1Pmqk","https://www.youtube.com/watch?v=uQsLXB1Pmqk","The Top 5 Machine Learning Libraries in Python",0,"machine+learning",13,310,5,4.9365077,1070,"How do you become a ","['Science & Technology']","['python', 'Python', 'machine learning', 'python libraries']","2019-05-21",546,"http://www.youtube.com/channel/UC0qOgic8vR53iRWMcwpvQzQ","https://i.ytimg.com/vi_webp/uQsLXB1Pmqk/maxresdefault.webp",1920,1080,,30,0.481
1008,"watch?v=U-CDQtIJ8eg","https://www.youtube.com/watch?v=U-CDQtIJ8eg","Building Mario Levels with Machine Learning | AI and Games",1,"machine+learning",28,938,24,4.900208,148000,"It's been 10 years since the first ever Mario AI Competition, so I return to the world of Super Mario level generation research and ...","['Gaming']","['machine learning', 'artificial intelligence', 'neural network', 'ai and games', 'game AI', 'super mario maker', 'deep learning', 'super mario', 'Mario AI', 'procedural generation', 'level generation', 'genetic algorithm', 'generative adversarial networks', 'GAN', 'AI', 'procedural level generation', 'ai and games mario']","2019-05-15",552,"http://www.youtube.com/channel/UCov_51F0betb6hJ6Gumxg3Q","https://i.ytimg.com/vi_webp/U-CDQtIJ8eg/maxresdefault.webp",1920,1080,,60,0.528
1009,"watch?v=ELE2_Mftqoc","https://www.youtube.com/watch?v=ELE2_Mftqoc","Reinforcement Learning Course - Full Machine Learning Tutorial",1,"machine+learning",77,2015,53,4.8974853,2760000,"Reinforcement learning","['Education']","['reinforcement learning', 'machine learning', 'machine learning course', 'reinforcement learning course', 'deep q network', 'deep q-learning algorithm', 'deep learning game', 'deep q learning tutorial', 'q-learning', 'deep reinforcement learning', 'q learning', 'neural network', 'python', 'pytorch', 'python tutorial', 'deep learning', 'reinforcement learning python', 'artificial intelligence']","2019-05-14",553,"http://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ","https://i.ytimg.com/vi/ELE2_Mftqoc/maxresdefault.jpg",1920,1080,,30,0.475
1021,"watch?v=8rXD5-xhemo","https://www.youtube.com/watch?v=8rXD5-xhemo","Stanford CS224N: NLP with Deep Learning | Winter 2019 | Lecture 1 – Introduction and Word Vectors",1,"machine+learning",395,4499,46,4.959516,207000,"Take an adapted version of this course as part of the Stanford Artificial Intelligence Professional Program. Learn more at: ...","['Education']",,"2019-03-11",617,"http://www.youtube.com/channel/UCBa5G_ESCn8Yd4vw5U-gIcg","https://i.ytimg.com/vi_webp/8rXD5-xhemo/maxresdefault.webp",1920,1080,,30,0.509
1022,"watch?v=lzGKRSvs5HM","https://www.youtube.com/watch?v=lzGKRSvs5HM","Linear Regression Explained in Hindi ll Machine Learning Course",0,"machine+learning",180,6138,161,4.8977613,165000,"GOOD NEWS FOR COMPUTER ENGINEERS INTRODUCING 5 MINUTES ENGINEERING SUBJECT :- Aptitude ...","['Education']",,"2019-03-10",618,"http://www.youtube.com/channel/UCyHta2dyCTkf29AB67AYn7A","https://i.ytimg.com/vi/lzGKRSvs5HM/maxresdefault.jpg",1280,720,,30,0.46
1023,"watch?v=tPb2u9kwh2w","https://www.youtube.com/watch?v=tPb2u9kwh2w","Powered by TensorFlow: Airbnb uses machine learning to help categorize its listing photos",1,"machine+learning",74,928,12,4.948936,298000,"Machine learning","['Science & Technology']","['TensorFlow', 'Google', 'Google Developers', 'Airbnb', 'TensorFlow Airbnb', 'Airbnb cloud', 'Airbnb machine learning', 'ML', 'machine learning developers', 'TensorFlow Dev Summit 2019', '#TFDevSummit', '#PoweredByTF', 'Airbnb developers', 'classification', 'airbnb case study', 'airbnb developer story', 'google developer story', 'companies using ML', 'companies using machine learning', 'TensorFlow for business', 'Tensor Flow', 'TensorFlow dev summit']","2019-03-06",622,"http://www.youtube.com/channel/UC0rqucBdTuFTjJiefW5t-IQ","https://i.ytimg.com/vi_webp/tPb2u9kwh2w/maxresdefault.webp",1920,1080,,24,0.493
1029,"watch?v=i6Mi2_QM3rA","https://www.youtube.com/watch?v=i6Mi2_QM3rA","MIT 6.S191 (2019): Deep Reinforcement Learning",1,"machine+learning",68,1132,12,4.9580421,80300,"MIT Introduction to ","['Science & Technology']","['deep learning', 'mit', 'artificial intelligence', 'reinforcement learning', 'machine learning', 'neural networks', 'introduction to deep learning', 'introduction to neural networks', 'intro to deep learning', '6s191', '6.s191', 'mit deep learning', 'alexander amini', 'amini', 'ava soleimany', 'lex fridman', 'tensorflow', 'computer vision', 'alphago', 'alpha zero', 'deep mind', 'deepmind', 'what is deep learning?', 'tensorflow tutorial', 'deep learning basics', 'deep learning explained', 'reinforcement learning basics', 'nvidia', 'openai']","2019-02-12",644,"http://www.youtube.com/channel/UCtslD4DGH6PKyG_1gFAX7sg","https://i.ytimg.com/vi_webp/i6Mi2_QM3rA/maxresdefault.webp",1920,1080,,30,0.525
1032,"watch?v=WNvOtwP_yf4","https://www.youtube.com/watch?v=WNvOtwP_yf4","Making Friends with Machine Learning: Regression",0,"machine+learning",17,625,5,4.9682541,626000,"Make friends with the amazing power of ","['Science & Technology']","['Making friends with machine learning', 'regresion', 'regression in ML', 'machine learning', 'regression in machine learning', 'what is regression', 'linear regression', 'RMSE', 'prediction', 'making predictions with ML', 'dataset', 'predictive outcome', 'training', 'making predictions', 'regression model', 'GCP', 'Google cloud platform', 'Google Cloud', 'cloud developers', 'GDS: Yes;']","2019-02-04",652,"http://www.youtube.com/channel/UCJS9pqu9BzkAMNTmzNMNhvg","https://i.ytimg.com/vi_webp/WNvOtwP_yf4/maxresdefault.webp",1920,1080,,24,0.501
1043,"watch?v=bRfUxQs6xIM","https://www.youtube.com/watch?v=bRfUxQs6xIM","Reinforcement Learning 6: Policy Gradients and Actor Critics",1,"machine+learning",37,415,14,4.8694639,271000,"Hado Van Hasselt, Research Scientist, discusses policy gradients and actor critics as part of the Advanced ","['Science & Technology']",,"2018-11-23",725,"http://www.youtube.com/channel/UCP7jMXSY2xbc3KCAE0MHQ-A","https://i.ytimg.com/vi_webp/bRfUxQs6xIM/maxresdefault.webp",1920,1080,,25,0.519
1045,"watch?v=ld28AU7DDB4","https://www.youtube.com/watch?v=ld28AU7DDB4","Reinforcement Learning 10: Classic Games Case Study",1,"machine+learning",24,305,3,4.9610391,271000,"David Silver, Research Scientist, discusses classic games as part of the Advanced ","['Science & Technology']",,"2018-11-23",725,"http://www.youtube.com/channel/UCP7jMXSY2xbc3KCAE0MHQ-A","https://i.ytimg.com/vi_webp/ld28AU7DDB4/maxresdefault.webp",1920,1080,,25,0.537
1060,"watch?v=azOmzumh0vQ","https://www.youtube.com/watch?v=azOmzumh0vQ","Yoshua Bengio: Deep Learning | Lex Fridman Podcast #4",0,"machine+learning",73,1842,34,4.9275055,755000,,"['Science & Technology']",,"2018-10-20",759,"http://www.youtube.com/channel/UCSHZKyawb77ixDdsGog4iWA","https://i.ytimg.com/vi_webp/azOmzumh0vQ/maxresdefault.webp",1920,1080,,30,0.463
1061,"watch?v=kyNbYCHFCSw","https://www.youtube.com/watch?v=kyNbYCHFCSw","Deep Learning VM Images",1,"machine+learning",17,325,10,4.8805971,626000,"Imagine if you could avoid the headache of setting up new libraries, configuring them, and making sure they are all compatible.","['Science & Technology']","['Deep learning vm images', 'machine learning libraries', 'machine learning frameworks', 'pie torch', 'tensorflow', 'google compute engine instance', 'cloud tpu', 'cloud gpu', 'ML libraries', 'ML environments', 'cloud instances', 'how to use deep learning vm images', 'cloud launcher', 'google cloud platform', 'GCP', 'cloud developers', 'machine learning', 'ML', 'machine learning tips', 'machine learning developers', 'yufeng guo', 'ai adventures', 'GDS: Yes;']","2018-10-10",769,"http://www.youtube.com/channel/UCJS9pqu9BzkAMNTmzNMNhvg","https://i.ytimg.com/vi_webp/kyNbYCHFCSw/maxresdefault.webp",1920,1080,,24,0.487
1090,"watch?v=-Lazy3r6FKk","https://www.youtube.com/watch?v=-Lazy3r6FKk","My 5 favourite Coursera Courses for Python, Data Science and Machine Learning",0,"machine+learning",213,5962,112,4.9262428,230000,"These are my 5 favourite Coursera courses for learning python, data science and ","['Education']","['coursera courses for python', 'coursera courses for data science', 'coursera courses for machine learning', '5 best coursera courses', 'python', 'learn python', 'data science', 'learn data science', 'machine learning', 'learn machine learning', 'python for everybody', 'applied data science with python', 'deep learning', 'mathematics for machine learning', 'Andrew Ng']","2018-08-09",831,"http://www.youtube.com/channel/UC68KSmHePPePCjW4v57VPQg","https://i.ytimg.com/vi_webp/-Lazy3r6FKk/maxresdefault.webp",1920,1080,,24,0.466
1091,"watch?v=CbXj7091OWA","https://www.youtube.com/watch?v=CbXj7091OWA","1. Build Your First Machine Learning Model",0,"machine+learning",18,351,2,4.9773369,9250,"Follow along with Lukas Biewald to build a simple neural network to classify handwritten digits into “five” or “not five”. You will ...","['Science & Technology']","['weights and biases', 'wandb', 'build a neural net', 'how to build a neural network', 'how to make a neural network', 'build a neural network', 'neural net tutorial', 'neural net', 'artificial neural network tutorial', 'build a neural network from scratch python', 'artificial neural network python', 'artificial neural network example', 'neural network python', 'neural network tutorial', 'python neural network', 'Debug a neural network']","2018-08-08",832,"http://www.youtube.com/channel/UCBp3w4DCEC64FZr4k9ROxig","https://i.ytimg.com/vi_webp/CbXj7091OWA/maxresdefault.webp",1920,1080,,24,0.537
1093,"watch?v=hSZH6saoLBY","https://www.youtube.com/watch?v=hSZH6saoLBY","Il tuo primo script di Machine Learning in Python",0,"machine+learning",22,600,16,4.8961039,4490,"Tutorial per scrivere il tuo primo script di ","['Science & Technology']","['pollo watzlawick', 'machine learning ita', 'scikit learn', 'tutorial', 'python', 'pieroit', 'machine learning', 'piero savastano', 'tutorial machine learning']","2018-07-31",840,"http://www.youtube.com/channel/UCD-HLhRV_4Z3sYGkgqAnIJw","https://i.ytimg.com/vi_webp/hSZH6saoLBY/maxresdefault.webp",1920,1080,,30,0.527
1096,"watch?v=Eaj7pNeIQhs","https://www.youtube.com/watch?v=Eaj7pNeIQhs","A Day In The Life Of A Machine Learning Engineer | Learning Intelligence 36",0,"machine+learning",164,1991,406,4.3224864,67600,"A day in the life of what it's like to be a ","['People & Blogs']","['machine learning engineer', 'a day in the life of a machine learning engineer', 'deep learning', 'machine learning', 'data scientist', 'machine learning engineer vlog', ""what's it like being a machine learning engineer?"", 'a day in the life of a computer science student', 'a day in the life of a data scientist']","2018-07-21",850,"http://www.youtube.com/channel/UCr8O8l5cCX85Oem1d18EezQ","https://i.ytimg.com/vi_webp/Eaj7pNeIQhs/maxresdefault.webp",1920,1080,,25,0.462
1097,"watch?v=05NqKJ0v7EE","https://www.youtube.com/watch?v=05NqKJ0v7EE","Reinforcement Learning for Stock Prediction",1,"machine+learning",84,1936,83,4.8355622,713000,"Can we actually predict the price of Google stock based on a dataset of price history? I'll answer that question by building a ...","['Education']","['reinforcement learning', 'stock prediction', 'stock price prediction', 'financla forecasting', 'market analysis', 'AI for finance', 'AI stock prediction', 'AI', 'artificial intelligence', 'machine learning', 'deep learning', 'q learning', 'siraj raval', 'python', 'algorithmic trading', 'tensorflow', 'tensor flow', 'deep reinforcement learning', 'google']","2018-07-16",855,"http://www.youtube.com/channel/UCWN3xxRkmTPmbKwht9FuE5A","https://i.ytimg.com/vi/05NqKJ0v7EE/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAUwosp-od9UjPod7827wsOPQQMSA",1920,1080,,30,0.544
1274,"watch?v=SV0tzQLsIo8","https://www.youtube.com/watch?v=SV0tzQLsIo8","APRENDIZADO DE MÁQUINA: Aula 3-1 Overview do projeto prático com Internet das Coisas",0,"aprendizado+de+maquina",77,9,,5,,"MACHINE LEARNING CURSO DE ","['Education']",,"2020-05-13",188,"http://www.youtube.com/channel/UCJP9dI_E64bt8ep2I5_ersw","https://i.ytimg.com/vi_webp/SV0tzQLsIo8/maxresdefault.webp",852,480,,30,0.456
1324,"watch?v=n9TTBijKoh8","https://www.youtube.com/watch?v=n9TTBijKoh8","IA - Prerequisitos  para Aprendizagem de Máquina",0,"aprendizado+de+maquina",4,2,,5,14,"Este video vou carregado como teste do Canal.","['People & Blogs']",,"2020-03-25",237,"http://www.youtube.com/channel/UCpAyhTakhX617gG9_ONChbw","https://i.ytimg.com/vi/n9TTBijKoh8/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAoxNecnagm__9uUKgAX47Mz5maBA",768,480,,30,0.466
1343,"watch?v=8_WhRhuHpYc","https://www.youtube.com/watch?v=8_WhRhuHpYc","NLP-1.3 Diferenças entre aprendizado supervisionado e não-supervisionado | Deep Learning para NLP",0,"aprendizado+de+maquina",149,5,2,4.3333335,549,"Nessa aula a Professora Nádia apresenta os diferentes tipos de ","['People & Blogs']",,"2020-02-07",284,"http://www.youtube.com/channel/UCSdRcBM9OqR83B5IUIltkJQ","https://i.ytimg.com/vi/8_WhRhuHpYc/maxresdefault.jpg",1920,1080,,24,0.493
1345,"watch?v=0Bd9hGAiUEk","https://www.youtube.com/watch?v=0Bd9hGAiUEk","""Técnicas de aprendizado de máquinas aplicado em geometalurgia de ouro"" - David Drumond",1,"aprendizado+de+maquina",26,2,,5,132,"Palestra do David Drumond no II Workshop LPM ","['Education']","['workshop lpm', 'ufrgs', 'david drumond']","2020-01-24",298,"http://www.youtube.com/channel/UC0Sg0EzpDB6yHEO5Hn6LTUw","https://i.ytimg.com/vi/0Bd9hGAiUEk/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDPPjBEreXoAhbXIo7qSU1wVB1X8Q",1920,1080,,60,0.53
1359,"watch?v=wrMOFo1bkow","https://www.youtube.com/watch?v=wrMOFo1bkow","Utilização da Aprendizagem de Máquina para a identificação de dependência em aparelhos celulares",1,"aprendizado+de+maquina",32,2,,5,27,"O trabalho tenta introduzir um pouco os problemas causados pelo uso excessivo dos celulares na sociedade moderna, e mostrar que os mesmos podem causar problemas escolares aos alunos que o usa ","['People & Blogs']","['ifpi', 'IFPI', 'aprendizagem de máquina', 'ia', 'IA', 'machine learning', 'computacao', 'ADS']","2019-07-14",492,"http://www.youtube.com/channel/UC2QDvqFwJS_V6k2B9qjdTVw","https://i.ytimg.com/vi/wrMOFo1bkow/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDzKAWkxTtHygg4Bzib4mE9UMT4vg",854,480,,30,0.52
1679,"watch?v=6n1GFlqPDfI","https://www.youtube.com/watch?v=6n1GFlqPDfI","Real or Not? NLP with Disaster Tweets | Kaggle | Code review",1,"kaggle",280,3,4,2.7142856,57,"Jump on the opportunity to challenge Real or Not? NLP with Disaster Tweet competition! Find the ","['People & Blogs']","['data science projects for beginners', 'artificial intelligence', 'deep learning', 'how to big data', 'data analysis', 'kaggle', 'kaggle projects', 'kaggle data science', 'kaggle beginners', 'kaggle projects for beginners', 'data science python', 'data science project in python', 'data science project ideas', 'data science project portfolio', 'python', 'data science portfolio', 'data science', 'machine learning', 'data science projects']","2020-06-10",160,"http://www.youtube.com/channel/UC0IDKS24GVFdZP-zmqVJDRQ","https://i.ytimg.com/vi_webp/6n1GFlqPDfI/maxresdefault.webp",1920,1080,,30,0.467
1694,"watch?v=f9cWLGN8T64","https://www.youtube.com/watch?v=f9cWLGN8T64","Model Building | Titanic: Machine Learning from Disaster | Part 21 | Kaggle Competition",1,"kaggle",2,,,,11,"This is the legendary Titanic ML competition – the best, first challenge for you to dive into ML competitions and familiarize yourself ...","['Education']","['artificialintelligence', 'ai', 'machinelearning', 'technology', 'datascience', 'bigdata', 'deeplearning', 'tech', 'robotics', 'python', 'iot', 'innovation', 'programming', 'blockchain', 'data', 'coding', 'business', 'science', 'robots', 'datascientist', 'analytics', 'dataanalytics', 'hacking', 'ml', 'startup', 'cybersecurity', 'coder', 'robot', 'computerscience']","2020-04-21",210,"http://www.youtube.com/channel/UCJoZTPDHDNcyqq3zVYUnz3Q","https://i.ytimg.com/vi/f9cWLGN8T64/maxresdefault.jpg",1280,720,,24,0.511
1710,"watch?v=-DDrE6T0ct4","https://www.youtube.com/watch?v=-DDrE6T0ct4","Binary Image Classification with CNN (Deep Learning) on Kaggle Dogs vs Cats Dataset",1,"kaggle",1,40,,5,317,"In this tutorial, we have covered how to train a binary image classification deep learning model using a CNN on ","['Science & Technology']","['TheClassofAI', 'MachineLearning', 'ArtificialIntelligence', 'DataAnalysis', 'PythonProgramming', 'Python3', 'GoogleColab', 'Colab', 'GPU', 'CPU', 'CNN', 'Dropout', 'DataAgumentation', 'Kaggle', 'DogsvsCats', 'BinaryImageClassification', 'ImageClassification']","2020-03-23",239,"http://www.youtube.com/channel/UCYlOdJBJQN4c7k25uzwSwJA","https://i.ytimg.com/vi/-DDrE6T0ct4/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDF8iMs64Wcn2TXIGYi2sDae8AdCA",1920,1068,,30,0.484
1714,"watch?v=JJWifNR2KQM","https://www.youtube.com/watch?v=JJWifNR2KQM","Standardization | Titanic: Machine Learning from Disaster | Part 16 | Kaggle Competition",1,"kaggle",6,2,,5,11,"This is the legendary Titanic ML competition – the best, first challenge for you to dive into ML competitions and familiarize yourself ...","['Education']","['artificialintelligence', 'ai', 'machinelearning', 'technology', 'datascience', 'bigdata', 'deeplearning', 'tech', 'robotics', 'python', 'iot', 'innovation', 'programming', 'blockchain', 'data', 'coding', 'business', 'science', 'robots', 'datascientist', 'analytics', 'dataanalytics', 'hacking', 'ml', 'startup', 'cybersecurity', 'coder', 'robot', 'computerscience']","2020-04-15",216,"http://www.youtube.com/channel/UCJoZTPDHDNcyqq3zVYUnz3Q","https://i.ytimg.com/vi/JJWifNR2KQM/maxresdefault.jpg?v=5e967d6e",1280,720,,24,0.548
1754,"watch?v=k_zDG2R65Tg","https://www.youtube.com/watch?v=k_zDG2R65Tg","[Spanish] Real Life Machine Learning: Kaggle Bulldozers Competition (Part 1)",1,"kaggle",359,17,,5,246,,"['Gaming']","['twitch', 'games']","2019-10-27",387,"http://www.youtube.com/channel/UC8YI1_APwk42erokrUd_ygQ","https://i.ytimg.com/vi_webp/k_zDG2R65Tg/maxresdefault.webp",1280,720,,30,0.454
1774,"watch?v=8YTUpMY2dos","https://www.youtube.com/watch?v=8YTUpMY2dos","Winning Kaggle Competitions with Deep Learning | Tao Shen | Kaggle Days",1,"kaggle",1,38,2,4.8974357,68900,"Kaggle","['Science & Technology']","['Kaggle', 'Kaggel', 'coffee chat', 'live-coding', 'live', 'learn', 'api', 'cli', 'python', 'data', 'data science', 'interview', 'questions', 'transfer learning', 'coding', 'networks', 'programming', 'technology', 'tech', 'machine learning', 'AI', 'artificial intelligence', 'coders', 'programmers', 'help', 'tutorial', 'projects', '101', 'rstats', 'stats', 'statistics', 'what is kaggle', 'how to', 'github', 'developer', 'kernels', 'datasets', 'data visualization', 'deep learning', 'sql', 'challenge', 'competition', 'whitehat', 'code', 'lesson', 'CS']","2020-01-07",315,"http://www.youtube.com/channel/UCSNeZleDn9c74yQc-EKnVTA","https://i.ytimg.com/vi_webp/8YTUpMY2dos/maxresdefault.webp",1920,1080,,25,0.45
1779,"watch?v=svNwWSgz2NM","https://www.youtube.com/watch?v=svNwWSgz2NM","Deep Learning for Time Series | Dimitry Larko | Kaggle Days",0,"kaggle",3,85,2,4.9534883,68900,"Kaggle","['Science & Technology']","['Kaggle', 'Kaggel', 'coffee chat', 'live-coding', 'live', 'learn', 'api', 'cli', 'python', 'data', 'data science', 'interview', 'questions', 'transfer learning', 'coding', 'networks', 'programming', 'technology', 'tech', 'machine learning', 'AI', 'artificial intelligence', 'coders', 'programmers', 'help', 'tutorial', 'projects', '101', 'rstats', 'stats', 'statistics', 'what is kaggle', 'how to', 'github', 'developer', 'kernels', 'datasets', 'data visualization', 'deep learning', 'sql', 'challenge', 'competition', 'whitehat', 'code', 'lesson', 'CS']","2020-01-06",316,"http://www.youtube.com/channel/UCSNeZleDn9c74yQc-EKnVTA","https://i.ytimg.com/vi_webp/svNwWSgz2NM/maxresdefault.webp",1920,1080,,25,0.499
1784,"watch?v=rQQAIJIf60s","https://www.youtube.com/watch?v=rQQAIJIf60s","Solving NLP Problems with BERT | Yuanhao Wu | Kaggle",1,"kaggle",6,153,10,4.754601,68900,"Content note: Presenter speaks Mandarin but slide and subtitles are in English language. ","['Science & Technology']","['Kaggle', 'Kaggel', 'coffee chat', 'live-coding', 'live', 'learn', 'api', 'cli', 'python', 'data', 'data science', 'interview', 'questions', 'transfer learning', 'coding', 'networks', 'programming', 'technology', 'tech', 'machine learning', 'AI', 'artificial intelligence', 'coders', 'programmers', 'help', 'tutorial', 'projects', '101', 'rstats', 'stats', 'statistics', 'what is kaggle', 'how to', 'github', 'developer', 'kernels', 'datasets', 'data visualization', 'deep learning', 'sql', 'challenge', 'competition', 'whitehat', 'code', 'lesson', 'CS']","2019-12-30",323,"http://www.youtube.com/channel/UCSNeZleDn9c74yQc-EKnVTA","https://i.ytimg.com/vi_webp/rQQAIJIf60s/maxresdefault.webp",1920,1080,,25,0.51
1791,"watch?v=205j37G1cxw","https://www.youtube.com/watch?v=205j37G1cxw","Interview with Jeremy Howard | fast.ai | Kaggle | Machine Learning Research",0,"kaggle",6,241,5,4.9186993,3250,"Personal Note: I'm extremely excited and really honoured to share this interview! Audio (Podcast Version) available here: ...","['People & Blogs']","['Chai Time Data Science', 'Kaggle', 'Grandmaster', 'Data Scientist', 'Machine', 'Learning', 'Deep Learning', 'Sanyam', 'Bhutani', 'Sanyam Bhutani', 'Podcast', 'Interview', 'Beginners', 'Machine Learning Hero', 'Abhishek Thakur', 'Ryan Chesler', 'Sharpest Minds', 'Edouard Harris', 'Shivam Bansal', 'Artgor', 'Andrew', 'Lukyanenko', 'OpenAI', 'MuseNet', 'Christine Payne', 'Pierre', 'Stock', 'Judy Gichoya', 'Shaw', 'MusicAutobot', 'fast.ai', 'ImageNet', 'Hugging Face', 'Transformers', 'Julien Chaumond', 'NLP research', 'Victor Sanh', 'Jeremy Howard', 'fastai', 'fast', 'ai', 'dot']","2019-12-08",345,"http://www.youtube.com/channel/UCRjtBP-o5FbgRzX2BHQEFtQ","https://i.ytimg.com/vi_webp/205j37G1cxw/maxresdefault.webp?v=5deedd9e",1920,1080,,25,0.476
1841,"watch?v=9uhlKIMMRBw","https://www.youtube.com/watch?v=9uhlKIMMRBw","[Kaggle] Titanic Problem using Excel #10 - Create Train Test Validation split on Excel",0,"kaggle",1,9,,5,3040,"To train a model on Python sklearn, you need to split the dataset into train test split. In the Titanic problem, we need to predict on ...","['Education']","['kaggle titanic solution in python', 'excel', 'kaggle titanic best solution in python', 'kaggle titanic best solution', 'kaggle titanic solution', 'train test split', 'titanic', 'kaggle']","2019-08-18",457,"http://www.youtube.com/channel/UCZN-xTV6lFwfJHl6ZId_dOg","https://i.ytimg.com/vi_webp/9uhlKIMMRBw/maxresdefault.webp",1920,1080,,30,0.465
1849,"watch?v=GJBOMWpLpTQ","https://www.youtube.com/watch?v=GJBOMWpLpTQ","How to Enter a Kaggle Competition (using Kernels) | Kaggle",0,"kaggle",60,1196,23,4.9245281,68900,"Ever wanted to try out ","['Science & Technology']","['Kaggle', 'Kaggel', 'coffee chat', 'live-coding', 'live', 'learn', 'api', 'cli', 'python', 'data', 'data science', 'interview', 'questions', 'transfer learning', 'coding', 'networks', 'programming', 'technology', 'tech', 'machine learning', 'AI', 'artificial intelligence', 'coders', 'programmers', 'help', 'tutorial', 'projects', '101', 'rstats', 'stats', 'statistics', 'what is kaggle', 'how to', 'github', 'developer', 'kernels', 'datasets', 'data visualization', 'deep learning', 'sql', 'challenge', 'competition', 'whitehat', 'code', 'lesson', 'CS', 'live coding', 'Kaggle Competition', 'data scientist Rachael']","2019-08-12",463,"http://www.youtube.com/channel/UCSNeZleDn9c74yQc-EKnVTA","https://i.ytimg.com/vi_webp/GJBOMWpLpTQ/maxresdefault.webp",1920,1080,,60,0.466
